,title + body
588,Replying to @James_Kids
589,What if it breaks? I talked about it in the morning. The rest of this stock can fall anytime like Naver. U.S. interest rates and domestic interest rates will continue to rise until the second half of this year.
590,"The shell company was all ruined, what are you doing hahaha Rain ㅇ Newbies"
591,Tomorrow I'm finally going downstairs The floor is still far away
592,Alien runs away and is torn
593,Refer to the data on the increase in net income
594,They have to be bought by the sangjis hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha I can't even keep up with the company's momentum hahahaha
595,"Engdu, where did you hide?"
596,"Kakao is a really scary stock. It's cut in half right now, but it's like it's going to be cut in half. How can the stock price in this sector be cut in half? If the entire nation is a user, how reckless in management and how much the company loses trust to shareholders, how can it be like this?"
597,"The floor seems to have come, but I don't know, let's buy everything"
598,"I'll go to 10,000 won"
599,Stop Loss U.S. President Yoo Young-doo Says U.S. President Becomes Trump Absolutely won't wake up
600,"found out when I was occupying the alleyway When I saw that they were trying to monopolize metallurgy, I quickly sold it"
601,"One thing is clear, they said it was going under 10,000 won."
602,"Kakao shareholders, is it fear right now? I am buying in fear. Please give me an answer."
603,"I saw a lot of sheep chicks, so I can see the floor."
604," Kakao shareholders, is it fear now?"
605,Replying to a deleted post
606,"If the price of garbage is more than 10,000 won, I will buy it when it comes to 40,000 won. Do you lose your hands? Yes, it took longer than the last time I went to eat Kagem's Lionheart Hatchet."
607,left left tooth
608,"The last part of the split listing is open up to 10,000 won The entire amount is 10,000 won"
609,"Kakao's future cacao was won in year, month, and day. It has risen a lot. Today's closing price has doubled in won heh heh, so it's time to take a break."
610,Reply to the deleted post I'll be up tomorrow really ㅋㅋ I think I'm going to sleep tomorrow
611, Buy it when it’s rice
612,"Items that ended with a convergence price of 10,000 won"
613,"Saying it's a bottom, saying it's a rebound, even if it's a million won"
614,"Monthly stock options Manchurian stock options I know in advance that Manchuria will be released in full force. Damn it. It's only after the bad news. They will also rush, so the time may be faster"
615,How much should I buy tomorrow?
616,"I came down from Deogyusan, you fools"
617,Can I sell additional listed stocks from tomorrow?
618,"If you go to Golo, Golo is additionally listed hahaha"
619,"Um, do you still have katok stocks? 10,000 won is coming. A company that has already gone bankrupt keketok games katok pay kkektok bank alone will have a market cap."
620,"Ants, what are you worried about? Buy it when it falls, buy it when it falls, buy it when it falls again, and just take it with you. Cacao doesn't break. Sell it when it goes down, stop buying it when it rises."
621,How long has the stock option been exercised? Ohhhhhhhhhhhhhhh
622,"Increasingly, individuals are receiving orders from outside institutions, but because it is a big drop, it would have been a good picture if it was a rise."
623,"Does Kakao Pay block deal seem like someone else's business? Alibaba stock is currently on fire, and a few months ago announced that it would buy back several trillion won Think about what will happen in the future and stop buying cacao."
624,"At the peak of the stock price rising, handing over to the ants, killing the driving"
625, People who never sell when they get a reply to a deleted post. Did Niimi or Nibi order it?
626,Add Add Infinite number of shares issued value Wonju
627,"Cherry Chimpanzee Self-proclaimed Super Ant If Cherry and Chimpanzee compete for stock returns, who do you think will win?"
628,"Giga-chanda If you open your eyes for a foreigner, you over-sell the stock, and the stock is nurtured, a complete centipede playground"
629,"Kakao 10,000 won is coming. Hong Joo-sik is really coming."
630,You bastard gave me a chance to escape last week.
631,million won
632,It's a stock I'll go to Kaka Kaka Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kak Kakkak
633,"Look at this, even if the US market is going up, why the hell did the index drop in Korea today? It's really outrageous. And why did the Kakao drop?"
634,All Gurada Escape is in the order of intelligence
635,"Come on, let's go to sleep tomorrow, the day to sleep, the right price is the right price, the bubble of cacao must be blown out. The stock price has risen, and the CEO is shaky at the high point. Do you believe in the future of a company that sells large quantities of tens of billions of dollars? Congrats on entering tomorrow. seems to be the best"
636,"Cotton goes up ㅡㅡ If you don't sell it, it goes up even more ㅡㅡㅡㅋ"
637,Wasada recommended to buy tomorrow
638,"If the government touches it, it will cost thousands of dollars."
639,"Because the stock price is falling, the human level is also low. It seems that there are too many antis that are not good enough for the earth. I hope that the stock price only falls, and the human level does not fall. No, it's right to go far"
640,Stocks that have been harmed by large shareholders should not be looked at for at least a year.
641,"Stock market outlook according to the results of the US monthly consumer price index As a personal study, I have written an article on the future stock market outlook according to the results of the US monthly consumer price index to be announced on Friday. I think it's the same. I wrote about how the monetary policy stance of the US Fed will change according to this result, so please tell me if there are any mistakes or anything that needs to be added."
642,U.S. futures are falling
643,"But don't go, make sure you plan it out, or make a double floor, or go downstairs."
644,"Shut up your mouth, sooooooooooooooooooooo"
645,It's the basics of a pro when you're aiming and falling out of the mess.
646,Karuna stock infinite issuance loop value less than KRW
647,"Why did the shell stock cost 10,000 won?"
648,"Today, unconditionally, go straight to the upper limit. Today, unconditionally, no words are needed. Unconditionally, go to the upper limit. Keep the sheep and birds unconditionally shut."
649,"Westinghouse visit Korea Power plant export cooperation Westinghouse presidents of the United States, which possess world-class nuclear power generation technology, visit Korea to discuss ways to cooperate in exporting nuclear power plants with domestic public utilities It is scheduled to hold a series of closed-door meetings with KEPCO's public corporations over the course of one night. The Westinghouse president's visit to Korea is known to seek cooperation in exporting nuclear power plants between Korea and the United States. As the company that provided the relevant source technology, Kori Unit, the first commercial nuclear power plant in Korea, was also built with the technology from Westinghouse. It is an explanation that it is calculated that if we join hands with a capable Korean company and enter the export market jointly, we can secure sufficient competitiveness. no see"
650,Didn't Master Jakdu say it was going to be full?
651,"There are people who bought it after watching YouTube Studying and buying in Saraman Bay, what are you doing, paying for a paid room, paying for a seminar, losing all your money"
652,When is the million won?
653,"Kakao version Metaverse Kakao Universe Start Metaverse Ecosystem Interest-based Kakao Draws Kakao Kakao's Metaverse Concept Kakao Universe, Kakao's Metaverse Concept, Kakao Edition The blueprint for the metaverse, Kakao Universe, has been released It is an ambitious plan to attract global users into an ecosystem by providing Kakao Universe means an ecosystem where people with common interests can communicate anytime, anywhere, free from the limitations of Kakao, a messenger based on communication between people who know each other. It has been redefined as a community where various users come together by overcoming the limitations of space and time rather than a dimensional virtual space. Da Open Link is a service where users with common interests such as hobbies, places, and people can gather to communicate and enjoy. It is a way of chatting about webtoons and sharing restaurant information with users who meet through an open link of a brunch run by a famous chef. Reinforcing the multi-profile function in the Talk profile It is a method that allows users to express multi-personas. Utilization Technology that tracks facial movements in real time provides a function to automatically create various types of characters. It enables different communication such as role-playing with strangers in open chat. More things to enjoy Kakao said it plans to add a metaverse service that encompasses virtual reality beyond text images and images to this extended communication field. Provided short form video content, etc. will be provided. Build an ecosystem between creators and users to strengthen the revenue model. The last point of Kakao Universe is the metaverse service Colorverse, which is being developed by Neptune, an affiliate of Kakao. Unlike Metaverse, it is characterized by being able to cross between mobile and online without installing a separate app. Kakao plans to release Kakao Universe services one after another from the second half of this year. He said that it resembles the Marvel universe and expressed his ambition to open a new world in which all interests in the world are connected through Kakao by tying individual services into one worldview."
654,"Manchuria block deal report This morning, Kakao vs shareholder Alipay Manchuria block deal discount rate"
655,Please take note of the good news and bad news in the US stock market last night.
656,Kakao Pay lower limit
657,"Hello shareholders, I have written an analysis and study on Kakao."
658,What's missing today?
659,finally see you
660,Kakao Pay is also a block deal Block deal on Alibaba Alipay in China
661,"When you wake up, everyone runs away ㅋㅋ If you wake up before, it's hell ㅜㅜ"
662,Does Seok-yeol take Moon Jae-in’s Joo-joo?
663,Real cacao is a scam
664,"If it breaks, you have to go in, bitch."
665,I'm falling all the way
666,samsung samsung must-pack
667,"If Christmas falls on Saturday or Sunday, please designate Monday as a substitute holiday"
668,The biggest beneficiary of the current government The biggest beneficiary of the KEPCO previous government Kakao
669,"The amazing difference between the Jews and the Xiongnu Manipulating the United States is that we, the Jews, unite and lead the world, migrate to Ethiopia and the black Jewish race, and rebuild the country that disappeared thousands of years ago. The Xiongnus on the Korean Peninsula, as agents of the Tang Dynasty, ate the vast northern continent as agents of the Tang dynasty, and ate the vast northern continent, guiding the territories as a Yankee dog. It is an alliance. It burns Namdaemun at any time, and robs even the second-tier if anything, a rogue con artist pseudo-teacher Rebel Chun Doo-hwan Jo Hee-pal Heo Kyung-young Lee Man-hee Jeon Kwang-hoon The nation that created the Korean Wave pays billions of dollars a day through sacramentalism. Don't lose your soul, blood is thicker than water"
670,The two short sale starts today
671,"Kakao should come up to 10,000 won"
672,The last thing to do is to properly shave the ants.
673,It's because it's said that the highest number of Kakao users ever filmed hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
674,"I ask the seventh Criticism 10,000 won Week blood is dry Is the Kakao Pay drop today?"
675, I only bought a week
676,Only individuals are afraid to buy it. I haven't bought it yet.
677,Think Kakao Is there a better company than Naver? Future growth is the basics of Kane. Think and throw. The reason ants die is fear.
678,Is it profitable to defeat simple ignorance fear?
679,The guys who bought it yesterday haha They're going to die of starvation hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahatytingcum why
680,"I'm not patriotic, I'm just doing my best"
681,Let's go back
682,Kakao Pay will be down for a month. Cafe
683,Thousands of predictions today
684,I went out because I saw Cabin Caffei and it was dirty.
685,"Let's go up quickly, don't make any noise anymore, let's go up, we don't need words."
686,Is the current price merit serious?
687,The biggest beneficiary of the previous administration The current administration is KEPCO
688,Morally corrupt companies should be delisted
689,Going up from today
690,"Earning 10,000 won and losing my paycheck"
691,"My brother told me, it's not too late yet."
692,"Expect a full-fledged rebound Whether the target is full-time in the afternoon or tomorrow, expect full-fledged But if you reach 10,000 in a short period of time, organize it without any regrets"
693,"There are still a lot of people who pay money to Young-Doo Zhuang, and when will he come to his senses?"
694,starry
695,I spit it out yesterday and eat it today
696,I'm buying only cacao with all my cash. Even if it takes years haha
697,I lost my trust and it's over
698,"The executives are arguing that the rice is going to go up to 10,000 won, and the amount of damage caused by the ants is huge. Establish and publish soon"
699,I really lost my trust
700,"Let's go up quickly, we'll go up anyway, let's go up quickly"
701,It’s a dog bull market today hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
702,"KakaoPay Alipay plunged due to block deal KakaoPay plunged at the earliest According to the report, the stock price of Kakao Pay is trading at 10,000 won, down 10,000 won from the previous day. According to the investment banking industry the day before, after the market close, Alipay conducted institutional demand forecasting for 10,000 shares of Kakao Pay held at a discount from the closing price of the day. It is reported that all of the Manchuria were traded, and Morgan was in charge of the block deal sale."
703,Greedy and greed Let the company go bankrupt. We have to live and eat together with other companies. The CEO is too octopus-style to expand.
704, The date of receipt of no-certification by rising eco-professional purchase is the highest at the time of purchase.
705,"Kagao Universe, you're making a fuss. Guys, you're eating out with Clayton and there's nothing else you can do. You're always researching."
706, Annoyance
707,"The option to pay is expired, be careful of the downward trend on Witch's Day."
708,Agaru in Gekao Won Excitedly blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah
709,"Even if only Kakao is harmed, it succeeds. There is really nothing that is not buried in Korean ant money."
710,Why did you cut off your finger at the average price of 20 thousand won?
711,It seems that foreigners sold more yesterday because of the Kakao Pay block deal.
712,I'm claps like this
713,"I went to the mart and the funny thing is, when you open the wrapping paper, the mask has the same shape, but it's twice as expensive as a regular mask if you put cacao characters in the wrapping paper."
714,Why are you buying shell company stock?
715,Waiting for the Mangkao shareholders' meeting after the first year
716,"I don't understand the market cap with narrow insight. It's not that I don't work abroad, but most of them are anti-monopoly in the domestic market of a small country."
717,Yoo Young-doo Recommended Joo fighting hahaha
718,"I'm used to it, so another opportunity will come lol."
719,"Oh, I'm so chaotic"
720,"If you want to live a long and healthy life, throw cacao."
721,It's still a long way off haha The ants I bought yesterday lol
722,"It is said that from now on, American stocks and cacao will be blown away due to a boom, since the huge Jewish capital does not want the US to fall any more and has confirmed the bottom."
723,Byeongsan pu ha ha ha ha ha ha no no pu ha ha ha ha ha
724,"After all, the Yangachi company was also done by Kakao ㅋㅋ Kakao Pay ㅋㅋ After all, the Yangachi company was also done by Kakao ㅋㅋ Kakao Pay lol"
725,"Kakao has risen a lot these days. The price is full, but it's expensive. I won't buy it."
726,"Byeongsan, puhahahaha, come out to the river, luhahahahahahahahahahahahahahaha"
727,"Kakao Kakao Pay Kakao Bank Kakao Games are all bullshit companies, and they eat their backs from the shareholders ㅋㅋ As expected, Kakao is a Yangachi, and all affiliates are also bullshit companies ㅋㅋ Today, Kakao Pay did something hahaha."
728,"I don't know how many times I've been hit by a cafe. Really, this is purely Kim Bum-soo's fault."
729,"The history of evil companies and corporations Zukakao will be recorded in history. No matter how you look at it, it is a beggar-like company that leaks national wealth to China and the expansion of the octopus foot business is not enough."
730,Shareholder value is bullshit kekekekekekekekekekeopay shareholders are bubbly blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah
731,I can't take it because it's dirty. It's not even a sewer.
732,"They say that China's big tech regulations are being lifted, but why is it like this?"
733,Why do you wait until you go to Private Mansawon? Wait for some stop loss
734,I'm about to give up and collect little by little.
735,Elliot Wave Award One Gayaham Believe in Elliot Wave
736,"Kakao Pay business is ending, there is no social contribution business"
737,"It is said that from now on, American stocks and Kakao will be blown away due to the explosion, since the huge Jewish capital does not want the US to fall any more and it has been confirmed that it is selling even the breaking stock Yoo Young-du Panchu."
738,The death penalty should not be abolished. We are a warring nation. Would it make sense to abolish the death penalty in a warring nation?
739,"Um, um, Bora, I think it would be good to proceed with the business by using Klaytn well, but unless there is a main business, do not go into the business that is an issue and set a direction and proceed."
740,"You said you dared to speculate on Moon Jae-ang's themeju, Chan Kao. You should taste it."
741,Kakao shareholders should be punished
742,I won't live Chinese company
743,The loss is too big Please suggest a plan
744,I wanted to make some money.
745,Stocks that can make money haha Kakao Naver Netflix
746,"Hurry up and roll it up. There is no more time to steam. Bring it to the red light quickly. At the closing price, it must be brought to the red light. Bring it to the red light quickly."
747,"If Friday's nuclear test explodes, at least it will fall to minus."
748," Trash s ㄲ Inducing a decline through short selling, and continuing to buy at low prices. Damn s"
749,Replying to @James_Channel
750,Delisting is imminent
751,"Kakao who fell asleep in Friday's Estimated Price What to do, let's go out and play"
752,"If it's full, I live, I sympathize, I don't live, I don't."
753,It's skyrocketing after hours.
754,YouTube old man's stock is really bad haha
755,"This is to prevent the recurrence of war on the Korean Peninsula North Korea has been imprisoned for a year. Because of the economic difficulties, it cannot afford it with conventional weapons, so it has nuclear weapons asymmetrically, but China said that it is not capable of carrying out an all-out war. The Yankees' strategy to dismantle North Korea's nuclear weapons as a strategy to permanently divide and occupy the country as a strategy to obstruct unification by using pheasants and eating eggs as a security fraud on the Korean Peninsula for another 500 years or more as a security fraud in the Korean Peninsula Then, are nuclear weapons unconditionally bad or good? Of course, if we look at the whole of mankind, it is a weapon that should be abolished on the planet, but paradoxically, it cannot prevent wars caused by frequent conflicts of interest in the fierce battle for survival of the weak and the strong. Nuclear weapons are the secret weapon that can stop the rampage of war. As demonstrated in the Ukraine incident, the renunciation of Ukraine's nuclear weapons was made on the premise of ensuring peace between the West and Russia, but even in the case of Russia's occupation of Crimea, no one As a result of abandonment, far from guarantees, we have fallen victim to a cruel savagery, and likewise, Libya has fallen into chaos due to the civil war. Hara said that the Trump administration would mass-produce the Hiroshima atomic bomb, and that the former US Secretary of State Powell concealed the Israeli nuclear flag rather than arguing. Hara is an unconditional anti-national traitor who lays down and spits out. As long as she doesn't give up the illusion that peace is guaranteed as a Yankee, she transforms into an aggressor and becomes a defender. It is trying to maintain the strategy of obstructing division and obstructing unification by annihilating the ability itself. Modern nuclear weapons that will cause annihilation in the event of an all-out war are for deterring war, not for attack. The only dragon is the United States, and as we saw in Ukraine and Libya, as we have seen in Libya, they are Jewish Yankee demons maintained by a bloody and oscillating war, as in Operation Izey, which raised rebels in the Middle East and devastated the area around Israel. Paradoxically, the only thing that can stop the devil's trick to remove the barriers to their survival environment is the North Korean nuclear weapons and the Korean people's nuclear weapons. there will never be peace on the Korean Peninsula"
756,"Oh, I'm a high school student"
757,This is my review hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
758,"I'm Namgoong-hoon, the representative of Kakao. Will it come to 10,000 won? I decided to work with only the minimum wage under 10,000 won, but it's very difficult."
759,I threw this away a month ago It's a really good choice
760,"The ants that I picked up because it was good from yesterday's herbarium hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha It's no joke, it's reminiscent of the Lehman crisis. Interest rates keep going up, and oil prices keep going up too."
761,Tool Woman Tool Woman stock price hits high
762,I found out yesterday that it fell like crap
763,I knew this to prevent the recurrence of war on the Korean Peninsula
764,Why are you buying this?
765,Let's go up little by little
766,There are so many real Yoo-yu clubs that Jewish capital has been chasing.
767,"The left sound is close, and the blood-sucking leeches are the sinners."
768,"I have a question. I'm Jurin. If I buy stocks, do the stocks go up? If I sell a lot of stocks, I'm curious. Please answer"
769,Replying to @James_Channel
770,"Why Kakao Falls No, you guys, what do you want from holding stocks that have more than doubled from the bottom in the first place hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha"
771,Kakao Official Wednesday Kakao Pay Crash Thursday Kakao Game Stock Crash Friday Kakao Wettune Crash Monday Kakao Crash Fall
772,"I bought it for the first time today. If it goes down, I should stop losing."
773,"I came down from Deogyusan Bitted by a high point Stop loss or anti-inikakao high rating Everyone knows Just eat and eat and eat when a seat comes out, and other sports these days are the same."
774,"I bought it for the first time today. If it gets worse, I will buy it."
775,Replying to @James_Channel
776,"Now, if I go, there will be one single hit, so anyway Tsukao ㅋㅋ I'm still holding on to this, but I said stop when I wake up."
777,One car support line
778,"Kakao Crisis or Opportunity Parent company Kakao issued convertible bonds worth billions of dollars per month Debt maturation year, month, day, year, month, year, month, year, month, year, month, year, month, year, month, year, month, year, month, year, month, year, month, year, month, year, month, year, month, month However, this situation may be a target for short selling. Institutions and outsiders are somewhat cynical about the business concept of Kakao Universe, which was announced yesterday."
779,I use cacao haha
780,"Also, only ants are very stinky."
781,"Man Kakao Gazz Aman Kakao Gazz Acacao is not a stock that goes up, but a stock that goes down."
782,The rights and interests of minority shareholders of garbage companies are not considered at all Kakao Now is the time to throw them away.
783,"Kakao’s growth engine stock price has fallen considerably, but there are many concerns about a further decline as many criticize that Kakao Pay and Kakao Bank are still overvalued. The market cap is significantly higher than that of financial institutions"
784,Kakao executives suddenly buy a lot
785, I'm going to be pushed back only tomorrow and the won's closing price is really
786,come up tomorrow
787,"It's okay, only the executives are satisfied"
788,"Chanti leaders don't think about it, I split it all off and now I'm making money with what I'm going to split my arms and legs, so I listed it separately ㅋㅋ Even the mobility was taken off ㅋㅋ Emoji Friends Shop will keep the low market cap."
789,I'm finally waking up today lol
790,Prepared Lightning Bolt
791,How much damage did you eat by separating the cans and wrapping paper?
792,"It is worrying, but there are articles in the Maeil Business Newspaper, and the current management has no intention to stimulate stock prices from the problem factors, and the external bad news shows no sign of being resolved."
793,"Waiting for Kakao until it's 10,000 won"
794,"There are a lot of problems, so I will get up with the minority shareholders in the near future haha. In addition to the management's insincere will to boost stock prices, the management style that expands the octopus and the executives fill their pockets, the dividend is only one kekekeke"
795, Internal transaction with the Engdugo Ignaka Group Many people do not know the human agada bite experience above and below the horns.
796,"Be careful, there are many good stocks"
797," External institution short sale Set the repayment period Be sure to set it as a day, and immediately abolish the market maker system"
798,"If Christmas falls on Saturday or Sunday, please designate Monday as a substitute holiday"
799,He said he was filming cacao on YouTube.
800,"If I take cacao, I see the Hanewolbong statue"
801,"What did the shell company do for you, you Nova Bootangs haha"
802,Gaekao stocks prohibited to buy haha stocks prohibited to buy
803,hahaha really amazing
804,Cherry blossoms are rising
805,"Prepare for the risk of extreme tension Gwi Dong-nyang Noon-dong-nyang Oil shock Start of excessive liquidity Saving the Korean people in the age of inflation Crisis if they do not evacuate The pain and sad reality of investors If they do not evacuate The end of welfare immobility If the following materializes, Samsung Electronics will be full, but the electronic age will come Based on the face value of KRW 1 million Hynix Large-cap stocks, which have risen a lot in the past, such as energy solutions, from the full-electronic era to the full-electronic era, begin to sink. Quantitative reduction Severe impact on the stock market Sentence of death International oil price breaks through the dollar Short-term dollar Mid-to-long-term dollar is expected to rise. Let's take a look at the second oil shock that swept the world in the 1980s. As international oil prices surge, the losses of ants betting on crude oil inverse are growing for a while. As the international oil price soared again, the returns of individual investors who bet on the decline in crude oil also deteriorated significantly. The reason is that it is difficult to reduce the price of products and increase the price of products that are not sold by companies. However, the two oil shocks in the 1990s caused a global economic recession and inflation at the same time. Considering the current rate of rise in oil prices, Korea, which is highly dependent on oil, will experience stagflation during the oil crisis in the last year. There are only measures to raise interest rates, but there are no consumption measures to compensate for various side effects. As a global phenomenon, there are no sharp measures, and only past experience that inflation can be suppressed by going through a recession is naturally amplified. Because of this, we can face a global stock market crash just like in the 1980s. Dollar breakout from Japan The yen-dollar exchange rate broke the yen. It is serious. The US also broke through the dollar, which was warned at the level of break-through risk because it was moved from the stock market, a risky asset, to the Treasury bond, which is a safe asset. Of course, if cash investors are patient and wait, they will rise again, but debt investment is a problem. Customer deposits in the stock market continue to decrease from the top trillion won, and they are trying to break out of the current trillion won If credit loans fall a little over trillions, then the sell-off will begin. Russia's invasion of Ukraine could lead to global energy market chaos similar to last year's oil crisis, Goldman Sachs said. Russia's energy metal grain It is a key production base for Russia, and if the Russian economy is shut down, there will be a situation that advanced countries have never experienced in the past few decades. If the won-dollar exchange rate breaks through the won, it should be seen as a departure from Korea, just like foreigners did in Asia, such as Japan. They did not help with their own selfishness. Please keep looking to see if a currency swap is signed. Just as individuals who invested in crude oil inverse because of a fall, shed tears, investing in stocks is also a warning not to buy just because it has fallen. hope"
806,"If you don't organize your agenda properly, you're not living your life, you're working side by side. Youngsters should wake up."
807,"It's really dirty, it's dirty"
808,It's too heavy for an individual to have a lot.
809, This is a room for Kakao people. We are communicating with Kakao people.
810,"Let's go up quickly, shall we go up anyway, let's go up quickly"
811,"It reminds me of a scene from a drama, and the scene that says I'm nauseous"
812,Kakao Kakai Pay All of this is to Beomsu
813,Gekao Won aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
814,Stop buying ants
815,"If it's 10,000 won, it's expensive, I think it's fair."
816,Kakao Payto again and again
817,Kiwoom's top purchases are out of the question ㅜㅜ
818,"Never is just cheating, so I'm on my way to a goal. Kakao is fighting good"
819,"I lost my hand, now let's antidat"
820,Let's chew on an exciting song about the shell.
821,The company isn't the problem. Is the nose hair the problem?
822,"Fair value of KRW 10,000"
823,"It's over, hurry up"
824,life long story
825,"A If there is a bullet, it is a buy."
826,I pay tribute to the endless consistency.
827,"Let's go up because the ants have been brushed off Is it noisy on a fictional day? Stay quiet, if there is a swarm, it all goes up. Let's go up."
828,"When you press the nuclear test button, it's a full scale right away."
829,"Kakao cut in half, CEO Beom-soo, come out right away and boost the stock price again."
830,"Hohonies were deceived, trust Karl, blame the fingernails"
831,let's go kao
832,Only when this evil company disappears will it be clean.
833,You're out of support
834,Eradication of ants by spreading landmines with KOSPI’s cancer cell affiliate listing
835,It's falling less than I thought haha I knew it was going to fall more because the amount of protection deposits for Kakao Pay was released
836,Can I buy steamed flooring today?
837,"Kakao Pay Major Shareholder Manchurian Throw Kakao Pay Last month's stock price 10,000 won Current stock price 10,000 won hahaha"
838,"If you said that you went from Manon to Manon during Moon Jae-in, if it was Yoon Seok-yeol, would you post it?"
839,finally see you
840,Are you terrified?
841,Kakao is very diverse. This is the company.
842,Kakao Now let's go
843,It looks good today hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
844,"To be honest, Kakao should have gone to a single system instead of splitting it up. Look at how many listings it would have."
845,"It's steamy, today's steamed floor"
846,won't you go see me
847,"After all, dog kao dog trash, when I see this kind of garbage being listed, I want to poke it with a skewer in the head of an octopus."
848,"The opening of Meetin Yesterday, I was afraid of a short sale. I'll upload it today."
849,Ohye waterfall soda account is melting haha
850,"We're almost there, let's be strong"
851,"Now, in the age of cacao, what was foreseen"
852,Let's update
853,Did you feel sad when you had to get closer like that?
854,Is it true that cacao is full on New Year's Eve?
855,I'm asking for the eighth time I think it's going to break.
856,Young Doo Yoo Stop Loss of Loss Young Doo Yoo
857,I can really go. Is the company unreliable?
858, It's dog garbage.
859,Damn it haha
860,"It's really pitiful, people who bought cherry blossoms after hearing other people say that if they listen to other people's words, they will lose three generations. When all the stocks go up in the production year, they buy some stock. Not just cherry blossoms, but other cherry blossoms."
861,"If it breaks, you have to keep it open until the beginning of the year."
862,"The hyungs, should I be rude?"
863,Samsung must-pack Samsung
864,Gaekao group scammers group listing dog garbage like this is crazy in Korea.
865,Let's see today Naver Cacao Pak Pak
866,"You really do it too much, please do something Don't just think about splitting it."
867,Naver Homepage Famous Kakao Homepage
868,It's completely new hahaha
869," I'm betting on buying, but oops hahaha I hope it passes"
870,People's People's Peju People's Dog Jobs Are you slaughtering horribly like this?
871,Take care of the job niggas
872,only break this dog bubble enterprise
873,I'll be behind the nut nut
874,"Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha There's a buying trend coming in from somewhere, and the kids who say they're going to ten thousand won't write here and they're going to make a lot of money by selling shorts hehe I don't think they don't even know that it's a bullshit section when you hit all of the property on foot hehehehehehehehehehehehe"
875,"I'm not killing the ants, I'm just selling it because it's worthless"
876,Kakao additional listing is a nonsensical company. Additional listing stock types and handwriting type common stock common stock issue price Won Won Won Won Won Won Won Won Won Won Won Won Won Won Won Share Issue Date Year Month Day Dividend Calculation Date Year Month Date Settlement Date End Date Increase Method Stock Option Exercise Listing Date Year Month Date Code Common Stock Standard Code short code industry code
877,"Buy tentacles up to 10,000 won"
878,"It is not okay to work like this until the stock is full. I see, put the stocks in place and play"
879,"If you do not borrow the stock, place a sell order at the upper limit"
880,Dividend payout
881,"If you recommend it on YouTube, make sure you screw it up, but the rebound is a bummer."
882,"It is said that from now on, American stocks and cacao will be blown away due to a boom, since the huge Jewish capital does not want the US to drop any more and has confirmed the bottom."
