	제목+본문
1292	데미지어느정도로 다가올지 우울한 주말
1293	기분좋은 대박이다시초부터 장대하봉 하한가다 종일하락나락 마감도 하한가다
1294	만와도 전혀 이상없고 만 와도 전혀 이상 없는 주식ㅋㅋㅋ
1295	네이버에비해 너무고평가페이 뱅크 빠졌는디 지금가격말이되냥네이버는 쇼핑 페이 다가지고도 저가격인디
1296	유대자본 정말 있긴 있나요설거지 당하는거 같네요
1297	이종목만초반까지온다기름값올라가는것봐라이국은유가가나올랐고물가폭등이다미증시는계속하락할거고국내증시또한개폭락장은계속유지될거다해서이종목현재는매수안한다분명히만초반까지온다멀지않았다
1298	개카오 분명히친일종자야
1299	쓰카오 이번년엔 배당원 되것다앵두 부자되것다 ㅋㅋ주린들데리고 뭐하냐 년동안주가 반토막 불쌍하다
1300	미증시 폭락 이기사 참고 해서 투자하세요경상수지 년 만에 적자전환 재정수지까지 쌍둥이 적자 우려입력 오전 박현준 외 명추천본문 요약봇텍스트 음성 변환 서비스 사용하기글자 크기 변경하기 보내기국제 원자재 가격 급등 등 영향총재 금리 추가 인상 시사 월 소비자물가  급등
1301	앵두라는 유튜버가 년넘게 했던말들이 개구라였다코스피가 천을 넘을것이고카카오 주가는 만원 갈것이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1302	팔을 내주고 내 목아지를 보존할때에셋플러스의 강방천 회장그는 금융위기가 한참 깊어가던 일한국주식의 저평가를 주창하며 새로운 펀드를결성했다 개월후인 일 금융위기를당하지라더 정확히 말하자면개월후 금융위기를 당한것이 아니라개월후 금융위기의 이유가 만천하에 알려지지라저 유명한 서브프라임 모기지 사태어떤 경우든 폭락의 초기부터 군중들한테친절하게 그 이유를 설명해주지 않고잔인하게도 대전환의 마지막 단계에서그 이유가 공개되고그 무렵이 되면 매도의 극점을 찍으면서비로서 큰장은 돌아서게 되는 것이지라그로부터 년이 지난월 무렵부터 장은 이미 대세하락장겨울으로 진입했지라그러나그 누구도 그 이유를 친절하게 말해주지않기때문에아직도 심각성을 모르고 한국증시 저평가론을주창하는 무리들이 부지기수이러한 연유로 인해서도처에 신음소리는 들리나 비명소리는 아직이지라이 바닥의 생리이자 당연한 것이지라특히어쭙잖은 지식과 경험으로금리인상은 증시에 호재다고로 반등한다이런식의 주장을 늘어놓은 자들이나  들이대면서한국증시 저평가론을 부르짖는소위 전문가들이 이번 위기때 가장 크게 다칠위험군이니라금리를 인상했던것은현재 주가도 좋고 미래 경기에 대한 자신을전제조건으로 올렸던 것이었기때문에금리인상이 호재로 받아들여졌을뿐본질적으로 금리인상은 악재이니라지금은 반대로금리인하를 해야하는 상황이니라그럼에도금리인상을 해야하는 절박한 상황그러므로 이번 위기는 대공황급이라고빼어난 소수들이 넌지시 말해주고 있는기라증시 역사에서 이런 경우가 대공황때말고는없었기때문에 대공황에 버금가는 위기이니라기업의 가치와 주가는착한 마누라가 아니라 엉뚱한 개의 관계이니라결코 나란히 간적이 없고한참을 앞서거니 뒷서거니 하면서 가는것인지라 을 들이대면서 한국증시바닥론을주창하는 이들은 이래서 애숭이들이니라년 위기는 미국만의 문제에서 야기됐지만이번 위기는 전세계 공통이고 그중에서도 한국은가게와 기업 정부 여기다 부동산 북핵리스크까지문자그대로 퍼팩트스톰급 이니라부동산과 관련해서도이번 위기는 년 미국의 서브프라임비우량모기지의 한국판인기라비우량  가난한 영끌지축을 흔드는 폭락이 기정사실이니라정부는 연착륙을 바라지만 공무원들의 생각일뿐자산시장은 애시당초 연착륙과는 맞지않는기라그 사상적 철학적 이유를 디테일하게 말할것같으면용지 두장으로도 부족할것이므로 생략하고여기서는 우주만물의 구성원리만 설명하니라우주만물은 서로 다른 두개의 성질이불안정하게 상호작용을 하면서 형성되어 있음이라자산시장으로 말하면 공포와 탐욕이라는두가지 심리로 불안정하게 새끼처럼 꼬여있어서로 작용하는 것이니라고로 버블 다음에는 폭락만이 존재할뿐이니라정신차려야 할것이니라
1303	천억 번 카카오가 조조 넘게버는 삼성이 조등락이야 당연히 있겠지만길게보면 방향은 어디다위기가 올지 안올지 모르지만만약 온다면 가장 먼저 쳐맞을듯ㅋㅋ
1304	카카오 주가는원이 적정까페이는 천원이 적정
1305	곧 만원이 바닥입니다올 월까지 절대 안올라감
1306	알아서 비중 줄여라본전 생각나서 잡고는 있을테지만버블 닷컴 폭락도 누군들 예상했겠니그 때 내 친구 아빠가 자살했고친구였던 여자애도 년 지나서 자살했어등록금 없다고안쓰러워서 그래
1307	만원 오면 사야지카카오톡
1308	법대로 면사무소 직원이냐정치와 행정의 차이점은 무엇인가행정은 법대로 즉 규정과 절차에 따라 공평하게 처리하는 것이니때론 융통성과 시대 흐름에 반할 경우 마땅한 대처가 미흡하다는 것으로정치가 이를 보완하고 새로운 법 질서를 확립해 시대를 이끌어 가는 것이번 화물 연대 파업에 법 대로를 주장한 지도자라니면사무소 직원인가검찰 개혁을 막고자 반기를 들었던 그들 아직도 행정가로 착각하나 본다얼굴이름학경력 바꿔 주가 조작혐의에 본부장 사기꾼이라는 그들이법대로를 외친다 하니이것이 바로 내로남불이 아니고 무엇인가때론 인정과 온정으로 보살피고 나를 희생할 줄 아는 지도자는 없는가지구상 유일한 전작권도 없는 양키 괴뢰 형태의 치욕적인 한국군우리는 전시에 우리가 할수있는것은 없습니다 점령군이 노리는 술수의 부역질이외는 없는데 치욕을 모른체 선제공격 원점타격을 외치는 객기를 부립니다더힐이라고 하는 군사잡지에서한반도의 전쟁발발 가능성이 높아지고 있다그 중에 가지 중에 한 원인이 윤석열로 외국에서 그렇게 걱정하고 있었습니다북에 돈주고 총 쏴달란 알려진 꼼수는 끝 이제는 상상조차 어려운 안보사태로향 후 육 해 공에서 끔찍한 안보사태가 일정 빈발할 것이니 지켜봅시다주가 시대를 외치던 실물 지도자와 편견에 사로잡힌 폭탄주 검새 출신의 차이는달라진 환경에서 후회할 것입니다 국익을 위한 현명한 외교로 주변국과 선린우호가얼마나 큰 축복인지 정치 초보 지도자 우크라에서 보았듯 대재앙만이 보입니다
1309	개미들이 주식시장에서 떠날때까지세력들은 계속 하락시킬것이다역사상 보기힘든 대하락을 보게될것이다
1310	배당 원 카카오액면가 원 주가는 만원아직도 갈길이 멀다공매도 탓할거 없다주주 뒤통수만 안쳤어도이지경은 아닐것
1311	무증  거래일  무증 받자주주무증주된다살아남는자가 강한자  주라도간수 잘하자 무증  거래일유가 폭등으로 리터당 원넘어 휘발경유차 안타고 전기치 인기짱짱짱 매년  무한장한다 양극재 만 톤케파 조원년 조원 성장년 조원 성장년 조원 성장매년  성장 매출 확보됨숨은호재 온에서 조계약건 공시 하반기 나올것아메리카 유럽 기술력으로세계정복 한다노터스 무증 권리락후 연속 상한가에코프로에이치앤주당 주 무증발표  기준주가 만원에서 만원 폭등의 현주가 만원 안된다고전혀 염려할 필요 없다권리락후 노터스 연상 상한가 간것처럼  도 상간다예를들어  주가만이 권리락 만원 이지만 고성장으로 무증후 곧바로 만된다
1312	익절 유빵두입니다먹고날갈때까지 팍팍
1313	연일방송에선미국경기침체와물가상승얘기만나오는군암울한경기뉴스만나온다큰폭의물가상승과넘는고유가미증시의큰폭하락등등등암울한뉴스속에이종목또한담주역시하락이것다담주엔만초반때오것네ㅋㅋㅋ만대에서좋다고줏어먹은개미들ㅋㅋㅋ기다리면돈번다이종목
1314	요새 보면 새로 주식을 시작한 사람들이 보여서주식을 해서 잘못됐네 어쩌네 하는 글이 보여서마음이 안타까워서 글을 적습니다주식의 하루 이틀 한 달 두 달 등락은 그 어느 누구도 예측하기 힘들죠하지만 년의 등락은 예측 하기 쉽습니다지금보다 년 후 주식은 떨어져 있을까요만약 그렇게 생각하신다면 지금이라도 당장 주식에 투자된 모든 돈을 회수하면 됩니다단기 예측 이라는 건 정말 힘이 듭니다그걸 맞춘다고 좋아 할 필요도 없다는 거죠물론 운이 좋게 맞았으면 주식시장 앞에서는 항상 겸손 해야 합니다언제까지 떨어지는 주식도 없고언제까지 오르는 주식도 없습니다혹시 주변에서 주식으로 돈 많이 벌었다고 자랑 치는 사람이 있으신가요강세장 일 때는 주변에 주식으로 돈을 벌었다고 이야기하는 사람들이 정말 많았죠지금은 주변 사람들이 주식을 하면 거의 대부분이 돈을 잃었다고 이야기 할 것입니다주식 주가 프로 오르면 프로가 오른것이지요주식 주가 프로 오르면 프로 오른것입니다주식 주가 프로 오르면 프로 오른것입니다반대로 주식이 떨어지면 어떻게 될까요네 다 아시는 것 처럼 주식 수가 많으면 많을 수록 몇배의 손해를 보게 됩니다주식을 처음 하시는 분들은 아마도 이런 생각을 하시겠죠기관과 외인이 내가 사면 팔고 내가 팔면 올려서 주가 장난을 치는구나물론 돈이 많은 사람이 그날 그날의 주가를 만들수도 있죠하지만 딱 그뿐입니다아무리 돈이 많아도 주식시장에서는 평균 시세를 만들기가 어려워요특히나 이렇게 시가총액이 큰 대형주에서는요물론 유통되는 물량보다 돈을 배로 가지고 있는 곳에서는 주가 조작을 할 수도 있습니다주식의 값은 사고자 하는 사람이 많으면 값이 오르고팔고자 하는 사람이 많으면 값이 떨어집니다지금 시장은 어떤 상태인가요조금만 올라도 프로 정도 되면 팔려는 사람들이 한두명이 아니죠그렇다면 시초에 갭으로 띄웠어도 어떻게 될 까요계좌가 플러스이니 홀딩을 하기보단 팔려고 하는 사람이 많은겁니다정말 큰 호재가 있다고 하면 던지는 사람의 물량을 다 흡수하고 위로 올릴 수 있겠죠하지만 위로 올려놓으면 어떻게 될까요그 위에 있는 사람이 또 팔려고 하겠죠지금 카카오는 윗 매물대가 많습니다그 물량을 소화하는데 뭐가 필요할까요네 시간이 필요합니다저 팔고 싶어하는 사람이 많으면 많을수록 시간은 더 걸립니다그래서 천천히 사시라는 겁니다급하게 샀다가 급하게 저 위에 물린 사람들 처럼 급하게 팔고 싶으실 수도 있으니까요시장에는 여러가지 유형의 사람들이 주식투자를 합니다얼마 전 까지만 해도 카카오는 정말 좋은 주식 이라고 사람들이 그랬었죠지금은 어떤가요 ㅎㅎ 온갖 모든 악재와 고평가 됐네 어쩌네 만원 가야하네 어쩌네별의 별 의심이 많지요과연 그때와 지금 기업이 많이 바뀌었을까요시장 상황이 바뀐다고 해도 주가가 이렇게 폭락할 정도의 악재였을까요꾸준히 성장을 하고 있고 꾸준히 매출액과 당기순이익은 늘어나고 있습니다그리고 벌리는 돈으로 자사주 매입을 하고 있습니다남들이 좋다고 할 때는 남들이 안 좋다고 할 때 사놓은 사람들이파는 시기 입니다그 사람들은 안 좋다고 할 때 왜 샀을까요그래서 주식시장의 프로는 돈을 잃고 단지 프로 정도만 돈을 벌 수 있습니다남들과 다르게 생각해야 하거든요프로 프로를 버티는 사람이 프로 프로를 먹는 겁니다이 주식이 다시 올라가는데 몇 년이 걸릴 지 모릅니다지금 당장 또는 급하게 돈을 쓰셔야 하는 분이 이 주식을 사셨다면주식을 팔고 급한데 돈을 쓰시는 게 맞습니다그저 차분하게 천천히 모아가실분들이 사는게 맞다는 말 입니다오늘은 주말이라 시간이 많아 글을 좀 많이 썼습니다돈을 빠르게 벌고 싶은 사람들이 굉장히 많죠주식은 도박이 아닙니다사람들이 주식을 산 돈으로 기업은 자금을 조달하여 그 자금으로 더 나은 회사를 만드는 겁니다그게 투자입니다
1315	지금 아파트도  씩이 빠졌어세종 대구 인천근데 앞으로도 분양 물건이 넘쳐나올해 안에 상승 하기는 어렵다는게 뻔히 보여주식이니까 이지아파트 샀으면 억 이야장난은 니들이 치고 있는거지
1316	공매도가 문제야만주에서 만주씩 매일 공매도치니오르겠니공매도 금지법이 있어야 오름
1317	억박을때가가까와오는군ㅋㅋㅋ누가지금시국에만원하는이종목매수하냐ㅋㅋㅋ등신들적어도만초반이눈앞에아른거리는구만ㅋㅋㅋ만초반도빠르면이달중으로볼것도같은데
1318	기업 가치는 생각도 안하고 공매도 탓공매도도 할만 하니 하는거지올리갈게 뻔히 보이는데 공매 칠 수가 있냐아직 들 맞아서 그래오늘 퇴근
1319	코스피 대차거래 상환종목 위순위 종목명 체결주수 상환주수 잔고증감 잔고주수 금액 우리금융지주      삼성전자      카카오      삼성생명      대한전선      디스플레이      하이닉스      투자증권      한화생명      동국제강      아시아나항공      신한지주            하나투어      영진약품      셀트리온                   두산에너빌리티      두산밥캣    
1320	삭제된 게시물의 답글차라리 네이버를 사라 손절하고네이버는 시간 지나면 망한다망할 회사를 사라고 제 정신이냐
1321	월일 서치 월 일 급등 가능 주식월일 서치 월 일 급등 가능 주식
1322	카카요드디어 만 고지가 무너지는 날이
1323	다음주자다미국 물가지수최대폭카카오 내려꽂는다
1324	모든주식 정리하세요엄청난 퐁락장이 옵니다
1325	ㅋㅋ깨까오 월요일 저점 무조건깨지니 폭락이네주차를 저점보다 퍼 퍼 높으면 만지지선 지킬텐데 전저점에 해놨으니 레벨다운되서 아래박스권 만들것임 이젠 만이 초거대 매물 장벽이 되는것이야
1326	만오면 주 매입 예정 분기 영익이 조인 도 만 후반인데
1327	국민 피빠는거머리 회사ㅋㅋ 꼬시다
1328	편의점 알바녀랑 이루어 질까소주 사러 갔는데책 펴놓고 포스 잡는거 있지그래서 한마디 했거든너도 진짜 대단하다 정말 대성 할듯하니까 이번에 시험 있다고 그러면서아저씨도 성공하실거에요이러는데 순간 급 설레는거 있지내 나이  직업 농부편의점 알바녀한 될까 정말 진지한데
1329	속보유앵두판츄까지 팔아 줍줍중카카오 대바닥
1330	그러고 보니 맞아요전 일단 확고한 기준이 있었거든요여자 키 이상 키로 이하피부색은 하야야 되고여르듬 자국 같은거 없어야 된다왜냐면 키크고 마르면서 얼굴 하야면면상 나지는 않은이상뭘 걸쳐놔도 어울리거든요근데 이 편의점녀가 조건을 모두 충족했어요
1331	카카오 대표 발언이 정말 무서운 웠던 이유몇달 전인가 그 카카오 대표 바뀌고 본인이 만원 전까지 돈 안받겠다고 한거그말 할때 대체 저사람은 저 발언으로 추가 투자자가 발생하고 그사람들이 만약에 돈을 잃으면 어쩌려고 저러나 생각을 했었습니다다들 일론머스크를 욕하는데 카카오 대표의 발언을 보면서 똑같은 사람이구나 라는 생각을 했죠오랜 시간 투자을 하면서 섣부르게 주가나 돈애기를 공석에서 하는 대표가있는 회사는 잘된걸 본적이 없는 개인적인 경험 때문이었습니다이게 정말 무서운게 개인 주식 투자자들에게 오는 수많은 불법 투자권유 메시지와 같은 개념이라 그랬었는데아무튼 안타깝네요 그 인터뷰를 보고 평단을 낮추려고 추가로 무리해서 들어오신분들도 있으실텐데 참다들 성투하십시시요
1332	직원들 억대 연봉 주더니뒤지는 구나
1333	앗싸ㅋㅋㅋ만카카오ㅋㅋㅋ주말푹쉬고월욜보자카카ㅋㅋㅋ
1334	만원 주 물림현타온다
1335	코스피올해안에 박살각
1336	미쿡 폭락 설마 카카오는고점 대비 반토막 선반영 되엇다월욜 시초가 만 깨질수잇으나오후 반발 매수세 들올 각이다주말 잘보내시길미쿡장 올라도 내렷으니 그다지 큰 충격파 없을듯
1337	살아 보니까 예쁜 여자가 최고던데요사람 본성 안바뀌 듯이사람 와꾸 안바뀌어요결혼 할 때 대충 예쁜 여자는애낳고 늙고 어쩌고 해서그냥 대면 평범한 여자 되어 있더라구요세월은 남자도 여자도 피해가기 어려울테니까요결혼 할 때진짜 나 예쁜 여자랑 하세요체질은 세월도 피해가요
1338	살아 보니까 성격 타령ㅋㅋㅋ한 년 살아봐도 예쁜 여자가 최고던데그럼 얼마나 더 살아봐야 함년수명이 장담은 해주냐
1339	개미님들아 여기가 바닥 일연속 대량매수개미탕개미들 돈두많어
1340	에사서 만에 매도치면 되것다이런 애들은 단타가 꿀임앵두군단 개미들 개망
1341	미쿡 폭락 설마 카카오는병원이나 가봐라 희망회로그만돌리고 자도 깨지것다아그야 ㅋㅋ
1342	민주당은  운동권 출신들을 모두 퇴출시켜야 된다민주당은  운동권 출신들을 모두 퇴출시켜야 된다년대에 위대한 김일성 수령님만세 김일성 아버지 사랑 합니다라고 외치며김일성에 충성맹세 혈서쓰면서 대한민국 공산화 운동하고선민주화 운동 했다고 구라치고 다니는 이런 민주당 빨갱이  운동권 놈들 다 퇴출시켜야나라가 바로 선다국민힘 하태경 의원도년대에 서울대 물리학과 재학시절 김일성 수령님 만세 외치고 다녔다지금은 사상을 완전 바꿔서 과거를 반성하고 북한 주민 인권에도 신경을 많이 쓰고 있다문제는 사상을 바꾸지 않은 민주당내  운동권 세력들이다 민주당  빨갱이들은 북한의 테러 행위를 부정하고 무조건 북한편만든다천안함 추모제에도 참석안한다김현희 칼기 폭파사건 전두환의자작극이다천안함 테러  이명박의자작극 연평도 포격  왜 북한을 자극하나 북한을 자극한 이명박탓이다어리석은 선동된 국민들은 민주당이 년대에 민주화 운동한줄 알고 있다팩트이야기 한다민주당 운동권들은 년대에 대한민국 공산화 운동했다지금도 이 운동권들이 만든 전교조의 교사들이우리 아이들에게 김일성은 민족영웅 김일성은 한반도에서 가장 위대한 사람이라고 가르치고 있다
1343	반토막 이제 시작에 불과전쟁 장기화 물가 상승프로 각오해라코스피 오지싶다만까지 봐야 안되겠나카카오톡 ㅋㅋㅋ
1344	만고의진리정치는민심을이길수없고경제는시장을이길수없다고로이종목은물가안정과고유가가해소되기전까진상승요인이없다명심들해라불나방들이여
1345	슬슬 진입 할 생각할생각 해야지
1346	악재요 악재 대출땡긴넘주식투자한넘앵두믿는넘다 지옥이네년만에 최고 물가 연준 자이언트 스텝 밟나입력 오전  수정 오전 임원식 기자본문 요약봇텍스트 음성 변환 서비스 사용하기글자 크기 변경하기 보내기월 소비자물가  상승엔비디아 나스닥 일제히 급락인플레 지속에 통화긴축 강화 우려다음주 금리  인상 전망
1347	월요일 너무 걱정되요전재산 들어가 있는데 ㅠㅠ
1348	년전 앵두가 그랬지내년 말까지코스피 천간다카카오 만 간다결과는지수 반토막 주가 반토막그는 졸 사이비였다 ㅋ최근엔  안깬다고유대금융자본이 손해니까 절대 안깰거라고ㅇㅔ ㄹㅏ ㅇㅣ ㅋㅋ
1349	신라젠보다 더해쳐먹엇누조까지갓네 카카오톡 까똑까떡ㅋㅋㅋㅋㅋㅋ내일 자
1350	월요일부터 원숭이막창 시작관련주 모음월요일부터 원숭이곱창 시작관련주 모음이노엔미코바이오메드녹십자엠에스여러분의 재산 증폭 될려나요
1351	월요일이 안왔으면하는 사람이 많다던데사실인가효
1352	월요일테마소미자 물가지수로 인한 미 증시 폭락으로 마련된 현금의 일부는한국의 저평가된 고배당주에 투자됩니다 낮은  종목 높은 비율의 현금배당종목 전기차 차전지 등 차세대 산업 종목 폭락 선반영 종목첨단소재 효성티앤씨
1353	주말이라 다행이네월요일 선물은 오를예정
1354	앵두형 카카오 만 언제가유 ㅠㅠ회비받고 낡은 수법으로 주린이들데꼬만원씩 받고 뭐하냐 ㅋ아직도 이러고있네 거시경제가 맛땡이강 그러니 분석이 안맞지주가 안오르니 범수한테 쌍욕이나하고남피해는 주지마시고 적당히들 합시다
1355	앗싸ㅋㅋㅋ만카카오ㅋㅋㅋ다우짜 될때 얼마인지 보자년전 가격 복귀중 관망뿐껍데기 문어발 자회사 분할상장 돌려막기
1356	카오카오황금박쥐
1357	월욜 종가 오늘이 제일비싼주식
1358	만원 중반까지중간에 오르기도 하는데이때 들어가면수건 돌리기식으로 물린다즉요즘 대부분 주식은아무리 싸게 사도 물린다
1359	야걍 버텨
1360	만원대 갈것 갓슈물리지 말고 매수는 금지요
1361	도대체왜 걸어다니면서 담배피는거냐니들은부모도 없냐 매너지켜라 역겹다담배냄새 때문에 개짜증난다 삶의질이 떨어진다 층간소음 층간흡연 보행중흡연도대체왜 걸어다니면서 담배피는거냐니들은부모도 없냐 매너지켜라 역겹다담배냄새 때문에 개짜증난다 삶의질이 떨어진다 층간소음 층간흡연 보행중흡연
1362	개미님들그만 사요
1363	이제 배달도하네경쟁자도 없이 돈 좀되는 거면 다하더니이젠 월부터 배달도하네암튼 사업 잔머리는 겁나 좋아혼자 다해쳐먹겠네
1364	진짜 다음주 월요일은 탑오브 헬게이트겠군요 ㅎㅎ년동안 끝임없는 헬게이트 반복아마 다음주 월요일은탑오브 헬게이트가 될듯주말에 어디 바람이라도 쐬고 오셈월요일 심장마비 올수도 있으니
1365	만가서다시 시작하자
1366	와월욜은그냥 칠만대 보겠구나무너지면 바닥이 어딜까
1367	카카오 투자할까요
1368	알리페이 카카오페이 주식만주 평단가는 주당원 가량으로 수익률은 현재 기준배가 넘는다결국 당했다 믿었던 카카오 중국 알리페이는 지난 일 카카오페이 보유 지분 중 약  가량인 만주를 블록딜로 매각했다 카카오페이 총 발행 주식의  수준이다 알리페이는 이번 매각으로 약 억원의 차익을 거둬 초기 투자금을 회수했다과거 알리페이는 약 억원을 투자해 카카오페이 주식 만주를 취득했다고 전해졌평단가는 주당 원 가량으로 수익률은 현재 기준 배가 넘는다알리페이는 초기 투자금 회수와 함께 돈방석에 앉았지만 카카오 형제들 주가는 풍비박산이다 카카오페이발 차이나머니 리스크는 카카오의 다른 계열사에도 영향을 끼쳤다경영진 먹튀부터 대주주 이탈까지 암만 성장라지만 추정  배 고평가 논란 지속 대주주 알리페이 블록딜개월 후 물량 더 쏟아질 듯카카오페이의 주가수익비율은 고평가 논란이 사그라지지 않는다일 기준 카카오페이의 올해 추정 실적 기준 은 무려 배에 달한다카카오페이가 지속해서 높은 성장률을 달성할 것이라는 기대감이 있다 하더라도 지나치게 높은 수준이다 같은 서비스 업종의 이 배인점을 감안하면 차이는 더 크게 와닿는다실적 전망도 밝지 않다 업계에서는 카카오페이가 올해 분기까지 적자를 지속할 것으로 보고 있다 금융정보업체 에프앤가이드에 따르면 증권사들이 예상한 카카오페이의 분기 영업손실은 억 원으로 지난해 분기부터 개 분기 연속 적자가 유력하다알리페이 카카오페이 주식 만주 평단가는 주당 원 가량으로 수익률은 현재 기준 배가 넘는다일 기준 카카오페이의 올해 추정 실적 기준 은 무려 배에 달한다경영진 먹튀부터 대주주 이탈까지짱개 돈먹여주는 대한민국카카오페이 원 되도 짱개는 아직도 지분  갖고 대박일뒤 남은 만주 보호예수 해제다 싶파떠난다 분명 만원까지 개월간  보호예수 풀릴때까지 내린다이번에 겨우 만주지만 앞으로 개월에만주 쏟아붓고 먹튀다 짱개폭락한다고 싸다고 매수하는순간 대한민국자본은 짱개들 손에 넘어간다앞으로 개월동안 주가 원 될때까지 짱개는 개미돈 수천억 수조원 빨아가는거다
1369	카카오가 오를 수 밖에 없는 이유이익 모멘텀이 살아있고구조적인 성장주현재 과대 낙폭주 중에 소프트웨어가 순위하지만 이익은 꾸준히 성장중이번 과도한 는 잘못된 것이 맞다만약 미국이었으면 자회사 상장으로 주주가치 훼손 되는 일은 꿈도 못꿀 일코리아 디스카운트가 발생할 수 밖에 없는 이유도 자회사 물적분할로 인한 주주가치 훼손이 잘못됐다는 리앙스를 풍김카카오는 이번을 계기로 반성하고 성찰하는 기업이 되기를앞으로 경기침체가 온다면 기업들의 매출 실적들은 저조해 질 것이고 성장 모멘텀도 다수 기업에서는 사라지게 될것임성장주가 귀해진다는 말그렇다면 지속적으로 매출과 순이익이 증가하는 종목은 뭐가 있을지를 잘 생각해보면 될듯
1370	나쁜넘 팩트기사나 잘바넌 악질 이다팩트나 보고 꼬셔 임마개미들 다 죽이지 말고 대주주 알리페이 블록딜개월 후 물량 더 쏟아질 듯개월 후 만 주 쏟아진다 일 기준 카카오페이의 올해 추정 실적 기준 은 무려 배에 달한다카카오페이가 지속해서 높은 성장률을 달성할 것이라는 기대감이 있다 하더라도 지나치게 높은 수준이다 같은 서비스 업종의 이 배인점을 감안하면 차이는 더 크게 와닿는다실적 전망도 밝지 않다 업계에서는 카카오페이가 올해 분기까지 적자를 지속할 것으로 보고 있다 금융정보업체 에프앤가이드에 따르면 증권사들이 예상한 카카오페이의 분기 영업손실은 억 원으로 지난해 분기부터 개 분기 연속 적자가 유력하다중국 자본에 언젠가 한번 데일 줄 알았다카카오페이 투자자그 여파로 중국 자본 영향권에 있는 카카오 그룹 전체가 타격을 받는 모습이다카카오뱅크 주가도 최저가를 목전에 두고 있다짱개 자본이 어떤지 모르냐카카오그룹은 카카오 창업때부터 짱개자본이 점령한 상태여 임마
1371	염치없는 악덕기업돈이 썩어나면 투자해클레이튼 원어디 그지같은 무한코인 뽑아놓고디파이네 뭐네말은 상당히 비양아치지만결론은 양아치지대가리좀 좋다고 양아치가 아님국내투자자들이 기업윤리성을 애당초무시하니까 맨날 좋은기업들 외인들에게뺏기는거다양아치들 눈엔 양아치만 보이는게 순리일까어디 도둑넘 심뽀로 살아가니까제대로 된게 보이겠냐만
1372	이미 지주사 상태인데카카오 엔테나 상장시켜야 카카오 지주사야 주가는 애초 기대해선 안되고
1373	다우나스닥 지수 예측다우나스닥 지수 예측다우존스지수  조정 예측나스닥지수  조정 예측지수 조정 예측판단은 각자의 몫 입니다일
1374	맘 편하게원에서 년 횡보한다고 생각해
1375	중국에 결국 당했다 믿었던 카카오 어쩌다 이런일이중국 알리페이는 돈방석 앉고 개미들은 반토막허무하네중국 자본에 언젠가 한번 데일 줄 알았다카카오페이 투자자삼성전자보다 개인투자자들이 더 선호하는 카카오가 끝없이 추락 다시 신저가를 찍었다 무엇보다 중국알리페이의 카카오페이 블록딜 매각 소식으로 차이나머니 리스크가 불거졌다 그 여파로 중국 자본 영향권에있는 카카오 그룹 전체가 타격을 받는 모습이다카카오뱅크 주가도 최저가를 목전에 두고 있다지난 일 카카오페이 주가는 전일보다  하락한 만원에 마감했다지난달 일 기록한 주 신저가 만원이 코앞이다 지난 거래일동안 무려  넘게 폭락했다대 주주 알리페이의 블록딜 매각 소식이 원인이다 카카오페이 측은 여전히 알리페이와 공고한 협력을유지 중이라 해명했지만 시장 반응은 싸늘하다알리페이는 초기 투자금 회수와 함께 돈방석에 앉았지만 카카오 형제들 주가는 풍비박산이다카카오페이발 차이나머니 리스크는 카카오의 다른 계열사에도 영향을 끼쳤다 카카오 주가는 일 만원으로 전일대비  하락했다 장중 만원까지 떨어져 주 신저가를 다시 기록하기도 했다 지난달일에 이어 약 한 달만이다
1376	카카오페이 일을 왜 여기와서카카오페이가서해
1377	돈만들어서 뿌려대더니 화패가 휴지조각됨주식시장 버블에  탈출이 답아시아경제인플레 때문에식품기업들 잇따라 가격인상 예고입력 오전  수정 오전
1378	다음주 이끌 정말 쎈 재료
1379	아직도 만원짜리참 안타깝네
1380	중국 자본에 점령당한 카카오 그룹중국 자본에 언젠가 한번 데일 줄 알았다삼성전자보다 개인투자자들이 더 선호하는 카카오중국 알리페이의 카카오페이 블록딜 매각 소식으로 차이나머니 중국 자본 영향권에 있는 카카오 그룹 전체가 타격을 받는 모습이다카카오 계열사들 모두 짱개 자본에 점령당한 상태입니다 윤석열 정부에서 한중관계는 끝윤석열 정부 년동안 짱개자본이 점령한 카카오계열사 주식 하면 장기적으로 망할겁니다중국 알리페이는 지난 일 카카오페이 보유 지분 중 약  가량인 만주를 블록딜로 매각했다 카카오페이 총 발행 주식의  수준이다 알리페이는 이번 매각으로 약 억원의 차익을 거둬 초기 투자금을 회수했다과거 알리페이는 약 억원을 투자해 카카오페이 주식 만주를 취득했다고 전해졌평단가는 주당 원 가량으로 수익률은 현재 기준 배가 넘는다알리페이는 초기 투자금 회수와 함께 돈방석에 앉았지만 카카오 형제들 주가는 풍비박산이다 카카오페이발 차이나머니 리스크는 카카오의 다른 계열사에도 영향을 끼쳤다경영진 먹튀부터 대주주 이탈까지 암만 성장라지만 추정  배 고평가 논란 지속 대주주 알리페이 블록딜개월 후 물량 더 쏟아질 듯카카오페이의 주가수익비율은 고평가 논란이 사그라지지 않는다일 기준 카카오페이의 올해 추정 실적 기준 은 무려 배에 달한다개월 후 카카오페이 물량 만주 보호예수 해제 약 조이상 먹튀
